date,state,avgpcp
191706,27,7.125
191706,28,4.26666666667
191706,29,0.22875
191706,30,5.781
191706,31,6.39
191706,32,2.06888888889
191706,33,5.062
191706,34,2.20333333333
191706,35,0.883333333333
191706,36,5.583
191706,37,4.87
191706,38,4.51857142857
191706,39,1.92777777778
191706,40,5.015
191706,41,0.656
191706,42,0.14
191706,43,5.33333333333
191706,44,4.145
191706,45,2.629
191706,46,3.69666666667
191706,47,5.45222222222
191706,48,1.026
191707,1,5.87125
191707,2,3.02428571429
191707,3,5.08444444444
191707,4,0.182857142857
191707,5,1.55
191707,6,3.04333333333
191707,7,6.17
191707,8,6.56428571429
191707,9,5.42555555556
191707,10,0.281
191707,11,3.00333333333
191707,12,3.22888888889
191707,13,2.30333333333
191707,14,1.48
191707,15,4.4775
191707,16,5.19333333333
191707,17,3.51333333333
191707,18,6.075
191707,19,2.15
191707,20,2.65
191707,21,3.20444444444
191707,22,4.896
191707,23,3.54833333333
191707,24,0.387142857143
191707,25,1.20625
191707,26,0.745
191707,27,2.785
191707,28,5.09666666667
191707,29,1.38125
191707,30,3.686
191707,31,7.9575
191707,32,1.63777777778
191707,33,3.949
191707,34,2.64666666667
191707,35,0.0622222222222
191707,36,4.271
191707,37,1.51
191707,38,6.58714285714
191707,39,1.55444444444
191707,40,6.865
191707,41,2.115
191707,42,1.53285714286
191707,43,3.20333333333
191707,44,5.89666666667
191707,45,0.263
191707,46,4.95333333333
191707,47,2.92555555556
191707,48,0.51
191708,1,5.74
191708,2,1.22142857143
191708,3,4.31888888889
191708,4,0.162857142857
191708,5,1.994
191708,6,4.69666666667
191708,7,3.365
191708,8,7.29714285714
191708,9,5.78777777778
191708,10,0.159
191708,11,2.69333333333
191708,12,2.61222222222
191708,13,2.36222222222
191708,14,4.76444444444
191708,15,3.4675
191708,16,5.65
191708,17,5.49666666667
191708,18,3.4825
191708,19,5.11333333333
191708,20,2.349
191708,21,2.20111111111
191708,22,4.626
191708,23,4.67833333333
191708,24,0.488571428571
191708,25,2.50375
191708,26,0.69
191708,27,5.52
191708,28,2.78333333333
191708,29,2.19
191708,30,3.969
191708,31,3.5025
191708,32,0.842222222222
191708,33,2.861
191708,34,5.63333333333
191708,35,0.0777777777778
191708,36,5.03
191708,37,5.45
191708,38,3.27571428571
191708,39,1.50222222222
191708,40,4.1225
191708,41,1.725
